 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,emotion
2.37,0.74,4.17,0.39,1.89,4.28,1.08,3.27,1.29,0,2.39,0.94,0.15,0,2.49,1.3,1.21,0
2.97,1.61,2.24,0.3,1.22,2.09,0.06,2.85,1.35,0.81,1.44,0.15,0.9,0,3.9,1.23,0,0
2.34,1.82,2.81,0,1.94,1.64,1.41,1.69,1.15,3.4,2.23,0.25,2.03,0,3.86,0.85,2.73,0
0.97,1.61,0.77,0,2.95,5,3.18,2.24,1.39,1.88,1.77,0,1.79,0,5,0.42,0.45,0
1.41,0.35,1.99,0,2.85,5,2.68,2.02,1.26,1.59,2.15,0.09,2.46,0,5,0.39,0.26,0
0.85,0.35,2.68,0.7,0,1.41,0.07,0.6,0,0,0.35,0.2,0,0,1.3,1.3,0,0
1.68,0,0,0.98,0,0.75,0,0.19,0,0.64,0.56,0,0,0,0.03,0,0,0
1,0,0,0,0.33,1.29,1.15,0.43,0.1,0,1.64,0,0,0,0.86,0,0,0
1.86,0,3.21,0.14,1.13,2.66,2.14,0.36,0,0,0.98,0.97,0,0,0.81,0,0,0
1.45,0,3,0.16,0.4,1.1,0.92,0,0,0,0.56,0,0,0,0.89,0,0.42,0
3.14,0.3,2.38,0.15,0,0.19,0,0.18,0,1.09,1.21,0.85,0.68,0,0.81,0,0.08,0
1.41,0,3.73,0,0.57,1.7,1.06,0.43,0,0,1.03,1.05,0,0,0.45,0.25,0.25,0
3.11,0,3.35,0.14,0.48,2.19,1.22,0.02,0,0,1.7,0.23,0.71,0.04,0.99,0,0,0
2.52,0.45,3.53,0,0.59,0,0,2.3,1.06,1.5,1.14,1.65,0.68,0,1.68,0,0.07,0
2.65,0.62,2.57,0.48,0.74,0.37,0,1.35,0.3,0,1.13,2.57,0,0,0.63,0,0,0
0.78,0,3.64,0,1.09,1.74,1.1,0.91,0,0.26,0.82,0.56,0.06,0.31,0,0,0.08,0
0.72,0,2.83,0.23,0.73,1.08,0.54,0.02,0,0,0.97,0.73,0.61,0,0.76,0,0.37,0
1.45,0,1.65,0.07,1.07,0,0.58,1.8,0,1.03,0.98,1.27,1.52,0.31,0.83,0,0,0
1.82,0,3.05,0.06,1.06,2.5,2.09,1.69,0,0.44,1.03,0,2.43,0,2.42,0.01,0,0
1.08,0,2.65,0,0.67,1.37,1.79,0.32,0,0.35,0,0,1.14,0,0.89,0.43,0.22,0
2.65,0,1.79,0.19,0.47,1.1,0.9,0.75,0,0,2.05,0.16,1.58,0,1.78,0,0.12,0
2.4,0,3.23,0,0.64,0.66,0.98,0.91,0,0.51,0.61,0.47,0.11,0,1.66,0,0.35,0
2.92,0.22,3.98,0.97,0.38,0.13,0.59,1.13,0,0.01,0.88,0.56,1.16,0,2.3,0,0.35,0
1.13,0,1.84,1.74,0.12,0,0.89,0.48,0,0,0.75,0,1.25,0,1.92,0,0,0
1.7,0,0.93,0.88,0.37,0,0.78,1.19,0,0.76,0.15,0,0.69,0,1.99,0,0.35,0
3.06,0.37,1.48,0.7,0.8,1.89,0.98,0.29,0,0,1.94,1,0.31,0,1.65,0,0.32,0
2.32,0.71,1.68,0.88,0.07,0,0,0,0,0,1.87,1.65,0.19,0.07,0.41,0,0.13,0
0.96,0,1.98,0.61,0.63,1.18,0.53,0.67,0.43,0.15,0,1.06,0.01,0.97,0.3,0,0,0
