 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,emotion
0,0,0.48,1.15,0.34,1.58,0.75,0,0,0,0.18,0.52,0.36,0.22,0,0,0.12,6
0,0,0,1.17,0.47,0,0,0,0,0,0,0,0.2,0.42,0,0,0,6
1.03,0.05,0.41,1.93,0,0.43,0.89,0,0,0,0,0,0.78,0,0,0,0,6
0.98,0.2,1.47,1.76,0,0.71,0.88,0,0.13,0,0.2,0.45,0.98,0.41,0,0,0,6
1.04,0.51,0.44,1.83,0,0.39,0,0,0,0,0,0.22,0.8,0.19,0.18,0.58,0.56,6
0.48,0,0.96,0,0,1.59,1.37,0,0.85,0,0.31,0,0.73,0,0.41,0,0.28,6
2.55,3.12,0.24,2.6,0,0,0,0,0,0,0.77,0.87,0.66,0,1.45,2.19,0,6
2.36,3.78,0.17,1.71,0,1.2,0,0,0.46,0,1.01,1.08,0.52,0,1.37,1.91,0.06,6
2.12,3.21,0,3.63,0,0.37,0,0,0.03,0,0.58,0,0.44,0,1.26,2.51,0,6
2.8,3.77,0.63,3.56,0,0.43,0.37,0,0.27,0,0.33,0,0,0,1.35,1.75,0,6
3.37,3.68,0.68,4.5,0,0.2,0,0.09,0.67,0.19,0.95,0,0.03,0,2.48,1.42,0,6
1.65,0.78,1.81,1.02,0,0.56,0,0,0,0.14,0.47,0.01,0.09,0,0.7,0.5,0,6
2.73,3.43,0.56,1.78,0,0.43,0.15,0,0.58,0,1.03,0.49,0.56,0,1.48,1.41,0,6
4.13,2.93,0.9,2.82,0,0.57,0,0.19,0.43,0,0.76,0,0.73,0,1.3,0.29,0,6
2.77,2.28,0.47,1.93,0,0.32,0,0.02,0.44,0,0.01,0,0,0,2.29,2.1,0,6
3.23,3.51,0,0.37,0,0,0,0,0.55,0,0.2,0,0,0,1.05,0.8,0.07,6
3.63,4.11,0,1.39,0,0.45,0,0,0.74,0,0.25,0,0,0,2.46,1.56,0.05,6
4.12,3.27,0.94,2.63,0,0.84,0,0,0.81,0,0.98,0.4,0.56,0,1.85,0.13,0,6
3.22,3.61,0.62,0.83,0,0,0,0,0.35,0,0.25,0,0,0,1.76,1.52,0.07,6
2.67,3.23,0.16,0.51,0,0,0,0,0.14,0,0.28,0,0,0,0.84,0.89,0.39,6
2.51,2.23,0.31,0.53,0,0.38,0,0,0.82,0,0.95,0,1.13,0,1.88,0.25,0.5,6
2.18,2.52,0,1.24,0,0.45,0,0,0.45,0,0.49,0,0,0,0.96,1.26,0.65,6
