 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,emotion
2.53,3.7,0.58,0.31,0,0.54,0.43,0,0.18,0,2.89,0,0,1,1.75,2.83,0.83,4
3.32,2.13,0,1.47,0.45,1.34,0,0,1.06,0.22,0.26,0,0.63,0.04,0.17,0.69,0,4
3.3,3.06,0,2.32,0,0,0,0.44,0,1.35,0.25,0.82,0,0,0,0,0,4
2.5,2.01,0.02,1.43,0,0,0,0,0,0,0.61,0,0.3,0,0.1,0,0,4
0.44,0.28,0,2.47,0,0.12,0,0,0,0,0.08,0,0.35,0,1.08,0.84,0,4
0.99,1.62,0.39,1.05,0,0,1,1.39,0,0.87,0.51,0,0,0,0.41,0,0,4
0.58,0.77,0,0.24,0.2,0,1.46,0.59,0.1,0,1.01,0,0.1,0,1.52,0,0,4
0.31,0,1.86,0,1.62,1.07,1.73,0.74,0.85,1.69,0.85,1.1,0.54,0.83,0.47,0.45,0,4
0.7,0.24,0,0.27,0.03,0.82,0.45,0.03,0,0.64,0.43,0,0.23,0,0.51,1.9,0.27,4
2.09,1.5,1.86,0.51,0,0.23,0.05,0.66,0.5,1.13,0.65,0.19,0,0,0.38,0,0.55,4
1.52,1.93,0.91,1.98,0,0,0,0,0.07,0,1.37,0.31,1.2,0,0.95,0,0,4
0,0,0,0,0,0,0,0,0,0.09,0.14,0,1.08,0,0,0,0.43,4
2.59,1.85,0,0.7,0,1.58,0.09,0,0,0,1.34,0,0.24,0,0.28,0.11,0.19,4
2.16,2.04,0.65,0.56,0,0.22,0,0,0.03,0,1.46,0,0.57,0,0.24,0.14,0.12,4
1.99,2.49,0.12,0.01,0.03,0.84,0,0.38,0.49,0,0.95,1.72,1.06,0.83,1.89,3.6,0.58,4
0.99,0.99,0,0,0,0,0,0,0,0.28,0,0,0.77,0,0.45,0.87,0,4
3.52,1.73,2.77,1.35,0.28,2.33,0.57,0.38,0.81,0.8,0.47,0.21,0.58,0,1.4,0,0,4
1.52,1.73,0,1.78,0,0,0,0,0.23,0,0,0,0,0,0.46,0,0,4
